epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1052.99,1.73923,1.72931,2.15394,0.37993,0.05882,0.11065,0.03391,2.40178,3.45615,3.87384,0.0009902,0.0009902,0.0009902
104,1061.96,1.75224,1.85047,2.2279,0.57444,0.05882,0.13502,0.04075,2.44952,3.42413,3.76798,0.0009803,0.0009803,0.0009803
105,1070.94,1.641,1.70579,2.12816,0.97385,0.11765,0.1418,0.05934,2.49683,3.32745,3.66262,0.0009704,0.0009704,0.0009704
106,1080.45,1.7129,1.84216,2.15227,0.87466,0.11765,0.15461,0.06647,2.648,3.29443,3.61158,0.0009605,0.0009605,0.0009605
107,1089.34,1.59508,1.63818,2.05794,0.8334,0.11765,0.15332,0.05842,2.74133,3.30424,3.59337,0.0009506,0.0009506,0.0009506
108,1097.87,1.57887,1.74237,2.11593,0.72205,0.11765,0.20251,0.08119,2.71588,3.27252,3.53555,0.0009407,0.0009407,0.0009407
109,1106.7,1.6327,1.68372,2.12581,1,0.17234,0.26224,0.10757,2.63582,3.20004,3.48316,0.0009308,0.0009308,0.0009308
110,1115.18,1.58076,1.62431,2.0609,0.83621,0.17647,0.29493,0.14122,2.5187,3.05591,3.31967,0.0009209,0.0009209,0.0009209
111,1123.98,1.59431,1.65945,2.09799,1,0.22485,0.42504,0.19153,2.47035,2.92202,3.15957,0.000911,0.000911,0.000911
112,1132.91,1.60244,1.58356,2.03,1,0.26955,0.47537,0.20135,2.35902,2.84332,2.97305,0.0009011,0.0009011,0.0009011
113,1141.81,1.46279,1.58499,1.98054,0.94846,0.29412,0.48752,0.22013,2.28164,2.74153,2.8379,0.0008912,0.0008912,0.0008912
114,1150.61,1.54517,1.5576,2.03226,1,0.38716,0.50426,0.21012,2.24324,2.69985,2.829,0.0008813,0.0008813,0.0008813
115,1159.19,1.53608,1.59711,2.02195,0.79003,0.17647,0.38788,0.14904,2.23328,2.898,2.95623,0.0008714,0.0008714,0.0008714
116,1168.1,1.50059,1.55687,2.01677,1,0.19364,0.32377,0.11592,2.26265,3.0257,3.10091,0.0008615,0.0008615,0.0008615
117,1176.89,1.47004,1.55614,1.98527,1,0.22538,0.33713,0.1346,2.25986,2.94807,3.01767,0.0008516,0.0008516,0.0008516
118,1185.59,1.54224,1.62327,2.00149,0.71669,0.17647,0.29798,0.17156,2.18882,2.77291,2.86366,0.0008417,0.0008417,0.0008417
119,1194.48,1.4479,1.50513,1.94365,1,0.33791,0.56397,0.25821,2.00028,2.55558,2.6591,0.0008318,0.0008318,0.0008318
